natural_language_query,sql_query,column_used,expected_llm_response,expected_llm_response_key_column_match,expected_llm_response_value_column_candidates,ground_truth_column,ground_truth_selection_details,final_column,Table or Retrieval,bucket
"In Small Cell Lung Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Small Cell Lung' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Small Cell Lung Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Urothelial trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Urothelial';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Urothelial trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In NSCLC trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'NSCLC';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In NSCLC trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Non-Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Non-Small Cell Lung';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Non-Small Cell Lung trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Head and Neck Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Head and Neck' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Head and Neck Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Hodgkin Lymphoma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hodgkin Lymphoma';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Hodgkin Lymphoma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Renal cell Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Renal cell' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Renal cell Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Renal cell trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Renal cell';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Renal cell trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Colorectal trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Colorectal';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Colorectal trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Mesothelioma Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Mesothelioma' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Mesothelioma Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Hepatocellular Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hepatocellular' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Hepatocellular Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Breast trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Breast';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Breast trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Renal cell Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Renal cell' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Renal cell Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Multiple Myeloma Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Multiple Myeloma' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Multiple Myeloma Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Head and Neck trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Head and Neck';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Head and Neck trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
