item_id,csv_row_number,question,column_used,expected_keys_json,question_dir,ground_truth_row_count
row_26,26,"In Small Cell Lung Phase 3 trials, classify the control arm as active, placebo, or best supportive care.",Control arm,"[""control_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_26__In_Small_Cell_Lung_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_suppo,11
row_27,27,"In Renal cell Phase 3 trials, classify the control arm as active, placebo, or best supportive care.",Control arm,"[""control_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_27__In_Renal_cell_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_supportive,12
row_28,28,"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.",Secondary endpoint,"[""endpoint_role""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_28__In_Breast_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_on_th,11
row_29,29,"In Colorectal trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.",Secondary endpoint,"[""endpoint_role""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_29__In_Colorectal_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_o,4
row_33,33,"In Urothelial Phase 3 trials, classify the control arm as active, placebo, or best supportive care.",Control arm,"[""control_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_33__In_Urothelial_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_supportive,6
row_34,34,"In Bladder trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.",Clinical setting,"[""setting_normalized""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_34__In_Bladder_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_perioperat,3
row_35,35,"In Pancreatic trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,"[""is_combination""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_combination__row_35__In_Pancreatic_trials_convert_Type_of_therapy_into_is_combination_true_false,2
row_36,36,"In Gastric/GEJ trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,"[""class""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/class__row_36__In_Gastric_GEJ_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1,8
row_37,37,"In Gastric/GEJ combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).",Type of combination,"[""combo_type_norm""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/combo_type_norm__row_37__In_Gastric_GEJ_combination_therapy_trials_normalize_the_combination_type_to_standardized_l,2
row_38,38,"In Hepatocellular trials, interpret the PD-L1 requirement flag as boolean true/false.",Is PD-L1 positivity inclusion criteria,"[""pd_l1_required""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/pd_l1_required__row_38__In_Hepatocellular_trials_interpret_the_PD_L1_requirement_flag_as_boolean_true_false,2
row_40,40,"For trials retrieved, construct a PubMed URL from the PubMed ID.",PubMed ID,"[""pubmed_url""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/pubmed_url__row_40__For_trials_retrieved_construct_a_PubMed_URL_from_the_PubMed_ID,148
row_41,41,"In Hodgkin Lymphoma trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).",Follow-up duration for primary endpoint(s) in months | Overall,"[""maturity""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_41__In_Hodgkin_Lymphoma_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_im,1
row_42,42,"In Head and Neck trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).",Follow-up duration for primary endpoint(s) in months | Overall,"[""maturity""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_42__In_Head_and_Neck_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immat,9
row_45,45,"In melanoma trials using ICI plus BRAFi+MEKi, list the BRAF and MEK inhibitors used in the regimen.",Treatment regimen,"[""braf_inhibitor"", ""mek_inhibitor""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/braf_inhibitor_mek_inhibitor__row_45__In_melanoma_trials_using_ICI_plus_BRAFi_MEKi_list_the_BRAF_and_MEK_inhibitors_used_in_the,3
row_47,47,"For Avelumab trials, bucket total sample size as small(<100), medium(100–299), or large(≥300).",Total sample size,"[""size_bucket""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/size_bucket__row_47__For_Avelumab_trials_bucket_total_sample_size_as_small_100_medium_100_299_or_large_300,7
row_48,48,"In Melanoma Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,"[""primary_endpoint_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_48__In_Melanoma_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_DOR,8
row_50,50,"In Mesothelioma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,"[""primary_endpoint_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_50__In_Mesothelioma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS,2
row_51,51,"In Hodgkin Lymphoma trials, convert 'Original/Follow up' status into a boolean is_follow_up.",Originial publication or Follow-up,"[""is_follow_up""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_51__In_Hodgkin_Lymphoma_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,1
row_53,53,"In Multiple Myeloma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,"[""primary_endpoint_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_53__In_Multiple_Myeloma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR,2
row_56,56,"In Multiple Myeloma trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.",Secondary endpoint,"[""irAE_assessed""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_56__In_Multiple_Myeloma_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse,2
row_57,57,"For Durvalumab, Tremelimumab trials, bucket the publication year into: ≤2014, 2015–2018, ≥2019.",Year,"[""era""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/era__row_57__For_Durvalumab_Tremelimumab_trials_bucket_the_publication_year_into_2014_2015_2018_2019,7
row_58,58,"In Melanoma combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).",Type of combination,"[""combo_type_norm""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/combo_type_norm__row_58__In_Melanoma_combination_therapy_trials_normalize_the_combination_type_to_standardized_labe,7
row_60,60,"In Gastric/GEJ trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,"[""is_combination""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_combination__row_60__In_Gastric_GEJ_trials_convert_Type_of_therapy_into_is_combination_true_false,8
row_62,62,"In Bladder trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).",Follow-up duration for primary endpoint(s) in months | Overall,"[""maturity""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_62__In_Bladder_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immature_or,3
row_64,64,"In Colorectal trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).",Follow-up duration for primary endpoint(s) in months | Overall,"[""maturity""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_64__In_Colorectal_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immature,4
row_65,65,"In Renal cell trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.",Clinical setting,"[""setting_normalized""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_65__In_Renal_cell_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_periope,14
row_66,66,"In Colorectal Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,"[""primary_endpoint_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_66__In_Colorectal_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_D,1
row_67,67,"In NSCLC trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.",Clinical setting,"[""setting_normalized""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_67__In_NSCLC_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_perioperativ,1
row_68,68,"In Bladder trials, convert 'Original/Follow up' status into a boolean is_follow_up.",Originial publication or Follow-up,"[""is_follow_up""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_68__In_Bladder_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,3
row_70,70,"In Mesothelioma trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.",Secondary endpoint,"[""irAE_assessed""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_70__In_Mesothelioma_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_eve,3
row_71,71,"In Bladder trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,"[""class""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/class__row_71__In_Bladder_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1_or,3
row_73,73,"In Mesothelioma trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).",Follow-up duration for primary endpoint(s) in months | Overall,"[""maturity""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_73__In_Mesothelioma_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immatu,3
row_74,74,"In Renal cell studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.",Treatment regimen,"[""tki_agents""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/tki_agents__row_74__In_Renal_cell_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_regime,6
row_75,75,"In Colorectal trials, convert 'Original/Follow up' status into a boolean is_follow_up.",Originial publication or Follow-up,"[""is_follow_up""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_75__In_Colorectal_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,4
row_76,76,"In Melanoma trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name.",Name of ICI,"[""brand_name""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/brand_name__row_76__In_Melanoma_trials_with_PD_L1_agents_included_in_the_meta_analysis_map_the_generic_ICI_nam,1
row_78,78,"In Pancreatic trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).",Follow-up duration for primary endpoint(s) in months | Overall,"[""maturity""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_78__In_Pancreatic_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immature,2
row_79,79,"In Pancreatic trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.",Secondary endpoint,"[""irAE_assessed""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_79__In_Pancreatic_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_event,2
row_80,80,"In Head and Neck combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).",Type of combination,"[""combo_type_norm""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/combo_type_norm__row_80__In_Head_and_Neck_combination_therapy_trials_normalize_the_combination_type_to_standardized,4
row_81,81,"For Avelumab trials, bucket trial phase into early (1/1b/2) vs late (3/4).",Trial phase,"[""phase_bucket""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/phase_bucket__row_81__For_Avelumab_trials_bucket_trial_phase_into_early_1_1b_2_vs_late_3_4,7
row_82,82,"In Colorectal trials, interpret the PD-L1 requirement flag as boolean true/false.",Is PD-L1 positivity inclusion criteria,"[""pd_l1_required""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/pd_l1_required__row_82__In_Colorectal_trials_interpret_the_PD_L1_requirement_flag_as_boolean_true_false,4
row_83,83,"In Multiple Myeloma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,"[""class""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/class__row_83__In_Multiple_Myeloma_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1,2
row_84,84,"In Gastric/GEJ Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,"[""primary_endpoint_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_84__In_Gastric_GEJ_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS,1
row_85,85,"In Esophageal/GEJ trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.",Control regimen,"[""control_drugs""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_drugs__row_85__In_Esophageal_GEJ_trials_with_chemotherapy_control_list_the_specific_cytotoxic_drugs_from,2
row_86,86,"In Esophageal/GEJ trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).",Follow-up duration for primary endpoint(s) in months | Overall,"[""maturity""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_86__In_Esophageal_GEJ_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_imma,2
row_87,87,"In Head and Neck trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.",Clinical setting,"[""setting_normalized""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_87__In_Head_and_Neck_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_peri,9
row_88,88,"In Renal cell trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name.",Name of ICI,"[""brand_name""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/brand_name__row_88__In_Renal_cell_trials_with_PD_L1_agents_included_in_the_meta_analysis_map_the_generic_ICI_n,2
row_89,89,"For Tremelimumab trials, bucket trial phase into early (1/1b/2) vs late (3/4).",Trial phase,"[""phase_bucket""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/phase_bucket__row_89__For_Tremelimumab_trials_bucket_trial_phase_into_early_1_1b_2_vs_late_3_4,3
row_91,91,"In Gastric/GEJ trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name.",Name of ICI,"[""brand_name""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/brand_name__row_91__In_Gastric_GEJ_trials_with_PD_L1_agents_included_in_the_meta_analysis_map_the_generic_ICI,1
row_92,92,"In Mesothelioma trials, convert 'Original/Follow up' status into a boolean is_follow_up.",Originial publication or Follow-up,"[""is_follow_up""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_92__In_Mesothelioma_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,3
row_93,93,"In NSCLC trials, convert 'Type of therapy' into is_combination = true/false.",Type of therapy,"[""is_combination""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_combination__row_93__In_NSCLC_trials_convert_Type_of_therapy_into_is_combination_true_false,1
row_94,94,"For Nivolumab, Ipilimumab trials, bucket total sample size as small(<100), medium(100–299), or large(≥300).",Total sample size,"[""size_bucket""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/size_bucket__row_94__For_Nivolumab_Ipilimumab_trials_bucket_total_sample_size_as_small_100_medium_100_299_or_la,9
row_95,95,"In Small Cell Lung trials with PD-L1 agents included in the meta-analysis, map the generic ICI name to its brand name.",Name of ICI,"[""brand_name""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/brand_name__row_95__In_Small_Cell_Lung_trials_with_PD_L1_agents_included_in_the_meta_analysis_map_the_generic,2
row_96,96,"In Prostate combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).",Type of combination,"[""combo_type_norm""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/combo_type_norm__row_96__In_Prostate_combination_therapy_trials_normalize_the_combination_type_to_standardized_labe,2
row_98,98,"In Mesothelioma trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.",Control regimen,"[""control_drugs""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_drugs__row_98__In_Mesothelioma_trials_with_chemotherapy_control_list_the_specific_cytotoxic_drugs_from_th,2
row_99,99,"In Breast trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).",Follow-up duration for primary endpoint(s) in months | Overall,"[""maturity""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_99__In_Breast_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immature_or,11
row_100,100,"In Small Cell Lung trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.",Control regimen,"[""control_drugs""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_drugs__row_100__In_Small_Cell_Lung_trials_with_chemotherapy_control_list_the_specific_cytotoxic_drugs_from,11
row_101,101,"In NSCLC Phase 3 trials, classify the control arm as active, placebo, or best supportive care.",Control arm,"[""control_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_101__In_NSCLC_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_supportive_care,1
row_102,102,"In renal cell carcinoma studies using ICI+Anti-VEGF, list the specific anti-VEGF agent(s) from the treatment regimen.",Treatment regimen,"[""anti_vegf_agents""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/anti_vegf_agents__row_102__In_renal_cell_carcinoma_studies_using_ICI_Anti_VEGF_list_the_specific_anti_VEGF_agent_s_fr,1
row_103,103,"In Gastric/GEJ Phase 3 trials, classify the control arm as active, placebo, or best supportive care.",Control arm,"[""control_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_103__In_Gastric_GEJ_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_supportiv,7
row_104,104,"In Renal cell trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.",Secondary endpoint,"[""irAE_assessed""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_104__In_Renal_cell_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_event,14
row_105,105,"In Pancreatic trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.",Secondary endpoint,"[""endpoint_role""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_105__In_Pancreatic_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_o,2
row_106,106,"In Small Cell Lung trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.",Secondary endpoint,"[""endpoint_role""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_106__In_Small_Cell_Lung_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_ba,14
row_107,107,"For Atezolizumab trials, bucket trial phase into early (1/1b/2) vs late (3/4).",Trial phase,"[""phase_bucket""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/phase_bucket__row_107__For_Atezolizumab_trials_bucket_trial_phase_into_early_1_1b_2_vs_late_3_4,30
row_108,108,"For Chemotherapy trials, bucket total sample size as small(<100), medium(100–299), or large(≥300).",Total sample size,"[""size_bucket""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/size_bucket__row_108__For_Chemotherapy_trials_bucket_total_sample_size_as_small_100_medium_100_299_or_large_300,1
row_111,111,"In Urothelial trials, convert 'Original/Follow up' status into a boolean is_follow_up.",Originial publication or Follow-up,"[""is_follow_up""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_111__In_Urothelial_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,7
row_114,114,"In Pancreatic trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.",Control regimen,"[""control_drugs""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_drugs__row_114__In_Pancreatic_trials_with_chemotherapy_control_list_the_specific_cytotoxic_drugs_from_the,1
row_115,115,"In Gastric/GEJ trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.",Control regimen,"[""control_drugs""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_drugs__row_115__In_Gastric_GEJ_trials_with_chemotherapy_control_list_the_specific_cytotoxic_drugs_from_the,4
row_116,116,"In Hepatocellular trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.",Secondary endpoint,"[""endpoint_role""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_116__In_Hepatocellular_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_bas,2
row_117,117,"For Chemotherapy trials, bucket trial phase into early (1/1b/2) vs late (3/4).",Trial phase,"[""phase_bucket""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/phase_bucket__row_117__For_Chemotherapy_trials_bucket_trial_phase_into_early_1_1b_2_vs_late_3_4,1
row_118,118,"In Small Cell Lung Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.",Primary endpoint,"[""primary_endpoint_category""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_118__In_Small_Cell_Lung_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR,3
row_119,119,"In Urothelial trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.",Name of ICI,"[""class""]",/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/class__row_119__In_Urothelial_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1,7
